limit,sex,education,status,age,ps-sep,ps-aug,ps-jul,ps-jun,ps-may,ps-apr,ba-sep,ba-aug,ba-jul,ba-jun,ba-may,ba-apr,pa-sep,pa-aug,pa-jul,pa-jun,pa-may,pa-apr,credit_default
320000,male,university,single,37,0,0,-1,0,0,0,31989,35554,85376,88585,101546,41685,5001,92586,5001,15001,3011,6001,no
100000,male,university,single,30,2,4,4,4,3,2,89898,92422,95979,93580,91181,93563,4900,5900,0,0,4000,3200,yes
500000,male,graduate school,married,46,-1,-1,-1,0,0,0,46178,56570,117102,159284,112078,136341,57498,120899,101500,30418,80668,50384,no
70000,male,graduate school,married,-1,0,0,0,0,0,0,70730,58103,68197,50756,50843,46727,3500,15000,3000,2000,1840,1798,no
200000,female,university,single,34,0,-1,-1,-1,-2,-2,13112,13011,12000,0,0,0,13011,12000,0,0,0,107918,no
500000,female,graduate school,,37,0,0,0,0,0,0,80846,74776,73558,71055,61248,40737,3032,3200,1946,1734,2000,4128,no
350000,male,university,married,47,1,2,2,2,2,0,301553,287780,295141,291422,279294,276594,0,21300,10000,0,9500,9500,yes
210000,female,university,single,53,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,yes
50000,male,high school,married,51,0,0,0,0,2,2,38302,39299,40703,44350,43517,46821,1634,2038,4685,0,3982,0,no
90000,female,high school,,44,-1,-1,-1,-1,-1,-1,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,34619,no
280000,male,graduate school,,46,1,-2,-1,-1,-1,-1,0,0,26330,6880,797,4898,0,26330,6880,797,4898,3680,yes
350000,female,university,married,-1,0,0,0,0,0,0,21026,35588,38002,40357,43663,52735,15000,3000,3000,4000,10000,25000,yes
300000,female,graduate school,,38,-1,-1,-1,-1,-1,0,2884,3558,2778,2778,5367,2589,3558,2778,2778,5367,0,3661,no
310000,female,high school,single,27,0,0,0,0,0,0,83756,86353,90960,89993,92229,94473,4000,6000,3000,3000,3000,3000,no
40000,female,university,single,53,3,2,2,0,0,2,14186,15264,14708,14704,16997,16568,1600,0,500,2500,0,209,no
180000,female,graduate school,single,43,-2,-2,-2,-2,-2,-2,0,0,0,5436,100,9330,0,0,5436,100,9330,0,no
220000,male,high school,married,39,0,0,0,0,0,0,188948,192815,208365,88004,31237,15980,8500,20000,5003,3047,5000,1000,no
50000,male,high school,single,26,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
300000,female,graduate school,single,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,no
50000,male,university,,33,0,0,0,0,0,0,48058,49348,41707,29358,29860,30461,2097,1456,1200,1100,1076,1200,yes
30000,female,university,married,41,2,2,0,0,0,-1,25594,21485,22320,23933,22742,2500,0,1300,5000,945,1850,1060,yes
490000,male,graduate school,married,38,1,-2,-2,-1,0,0,380,380,380,15240,19656,24006,380,380,15240,5000,5000,7396,no
100000,male,high school,single,35,1,2,0,-1,-1,-1,23704,21774,21818,1261,1261,1261,0,2000,1261,1261,1261,1651,yes
180000,female,university,married,53,-2,-2,-2,-2,-2,-2,0,533,2329,1778,2510,184,533,2329,1778,2514,184,1103,no
30000,female,university,single,-1,2,2,2,2,2,2,34048,33053,33506,41931,38638,35343,0,1800,9851,0,1183,5132,no
180000,female,graduate school,,43,-1,-1,-1,-1,-1,-1,4824,1001,13413,8577,8596,24297,1001,13413,8577,8596,24297,26134,no
350000,male,university,single,36,0,0,0,0,0,0,230738,232382,234254,211309,210897,191037,9503,9015,7511,8011,7361,7011,no
170000,female,university,,-1,-1,-1,0,0,0,0,12847,9807,8101,6208,10460,11143,9807,5000,3749,6711,4432,0,no
210000,female,university,single,39,0,0,0,0,0,0,193976,196361,200590,204494,208990,214031,7100,7400,7300,7700,8600,5816,no
110000,female,university,married,25,1,2,2,2,2,0,102884,100388,104529,81319,76549,77433,0,6000,4000,0,4000,2730,no
530000,female,graduate school,married,54,-2,-2,-2,-2,-2,-2,6458,5598,36532,3288,1415,448,5600,36532,3293,1415,448,1687,no
40000,female,university,single,25,2,0,0,0,2,2,25741,26772,27794,29333,29816,30577,1750,1772,2311,1100,1400,0,yes
180000,female,university,married,30,-1,-1,-1,-1,-1,-1,2488,13476,3173,13202,6594,2549,13476,3173,13212,6594,2549,1000,no
160000,female,graduate school,single,34,0,0,0,0,0,0,43729,43535,40799,41255,31766,32570,2045,1809,1265,1154,1333,1313,no
240000,female,high school,married,38,0,0,2,0,0,0,107148,113396,110084,112272,114779,116920,9500,0,4019,4317,4204,4314,yes
240000,male,graduate school,single,33,0,0,0,0,-2,-2,47742,27044,24007,0,0,0,1898,1006,0,0,0,0,no
60000,female,high school,,50,2,0,0,0,0,0,61349,61600,61952,60661,29095,17636,2900,3300,2000,900,889,21500,yes
460000,male,graduate school,single,36,-1,-1,-1,0,0,0,11469,13749,32838,33203,3129,5945,13766,32871,21000,165,3551,28979,no
70000,female,high school,single,52,0,0,0,0,0,0,103570,105991,67243,67533,28653,29253,3500,2777,1751,969,1004,938,no
50000,female,graduate school,,22,0,0,-2,-2,-2,-2,2416,0,0,0,0,0,0,0,0,0,0,0,no
50000,female,university,single,38,0,0,0,0,0,-1,41724,92054,50120,19587,10577,7533,5000,5120,10292,5577,7533,1000,no
50000,male,university,single,25,0,0,4,3,2,2,29206,53086,51981,50805,51518,50713,25000,0,0,1800,108,2400,no
210000,male,university,married,45,0,0,0,0,0,0,82902,84897,56023,57137,58333,59373,3814,2931,2045,2117,2010,1853,no
50000,female,high school,single,23,0,0,0,0,0,0,43979,33403,20879,18573,17318,17936,2000,2000,2000,1000,1000,2800,no
50000,female,,,32,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
50000,female,university,married,31,0,0,0,0,0,0,45614,44187,29253,14199,14965,15712,2450,2100,1000,1000,1000,1000,yes
320000,female,graduate school,,58,-2,-2,-2,-2,-2,-2,1100,0,0,0,0,0,0,0,0,0,0,434,no
30000,female,high school,,61,2,2,0,0,0,0,24453,23212,23964,24434,21340,5624,0,1522,1200,428,112,0,no
310000,male,university,single,41,0,0,0,0,0,0,369398,342174,298536,168389,151755,73083,10250,9278,7000,7000,5000,188000,no
240000,female,university,single,35,0,0,0,0,0,0,227457,232729,223431,226361,223508,238587,9000,10000,8000,9000,19000,9000,no
50000,female,high school,married,33,0,0,-2,-2,-2,-2,23500,0,0,0,0,0,0,0,0,0,0,0,no
100000,male,high school,single,50,0,0,0,0,0,0,95889,96791,97414,69166,53270,-1465,4200,2785,2291,1965,1465,62121,no
710000,female,university,married,-1,-2,-2,-2,-1,2,0,5200,0,0,1004,854,8626,0,0,1004,0,8000,5000,yes
410000,female,graduate school,single,25,-1,-1,-1,-1,-1,-1,4151,4357,10513,9137,7781,28870,4357,10513,9137,7781,28870,15000,no
120000,male,university,married,43,-1,-1,-2,-1,-1,-1,3972,2809,1021,2311,3868,2980,2816,1021,2321,3868,2980,0,no
360000,male,graduate school,single,-1,-1,-1,-1,-1,-1,-1,15798,16630,15687,38750,15802,15730,16713,15766,38944,15881,15809,30594,no
90000,male,university,single,33,-1,0,0,0,0,0,35785,29155,27485,29266,35598,38449,15155,5485,5263,8598,5449,6537,no
50000,female,graduate school,,-1,2,3,2,2,2,2,12250,11761,12476,11979,12880,12531,0,1200,0,1100,0,1200,yes
310000,male,graduate school,single,44,1,-1,-1,-2,-2,-2,-42,7281,0,0,0,0,7323,0,0,0,0,0,no
60000,female,university,,-1,0,0,0,0,0,0,29832,18628,15069,15761,5879,-2879,1538,1308,1000,118,1329,41378,no
140000,female,university,single,-1,0,0,0,0,0,0,50822,52468,52238,53368,56488,58542,2473,2000,2000,4000,3000,2000,no
280000,male,graduate school,single,-1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,yes
280000,male,graduate school,,45,-1,-1,-1,-1,-1,-1,2270,1703,-15,30943,15631,17508,1703,0,30958,15631,17508,10049,yes
290000,female,graduate school,,40,0,0,0,0,0,0,192432,192512,193999,157500,147150,146936,8000,9008,6000,5000,5200,5100,no
50000,male,graduate school,,28,0,0,3,2,2,0,13258,18647,18064,19462,18854,20380,5635,0,2000,0,2000,2000,yes
80000,female,university,,34,2,2,2,2,2,0,63619,64484,62882,69109,67401,68863,2500,0,7282,0,2700,3000,yes
100000,female,graduate school,single,-1,0,-1,-1,-2,-2,-2,93411,4081,0,0,0,0,11645,0,0,0,0,0,no
500000,female,university,married,43,0,0,0,-1,-1,-1,42081,46495,39489,12421,11345,11968,16495,15720,12421,11345,11968,11824,no
50000,female,university,married,49,-1,-1,0,0,-1,-1,3126,25362,23683,22833,1352,20791,25368,1237,457,1354,20794,540,no
70000,female,graduate school,single,29,0,0,0,0,0,0,66330,68278,69181,69494,63275,57430,3049,2621,3032,2074,2000,1800,no
500000,female,graduate school,married,-1,-1,-1,-1,-2,-2,-2,1323,1725,0,0,0,0,1725,0,0,0,0,0,no
140000,male,graduate school,single,29,0,0,0,0,0,0,34052,34677,35065,35668,36143,37064,1553,1601,1564,1399,2000,2000,no
120000,female,graduate school,single,27,-1,0,0,0,0,0,22027,51757,113157,106767,30237,-1280,35000,100000,0,0,0,2750,no
50000,male,university,,25,1,2,0,0,-1,0,11023,9497,4273,0,6805,5554,14,1000,0,6805,2000,3782,no
310000,male,high school,single,30,-2,-2,-2,-2,-2,-2,-44,-44,8915,-35,7028,-116,0,8959,0,7063,0,23240,no
50000,female,graduate school,,-1,-1,0,0,0,0,-1,28594,33080,29233,23340,-300,31031,5000,3000,1000,0,31331,0,no
170000,female,university,married,52,0,0,0,0,0,0,170133,168945,160660,163652,131396,130402,7620,6200,10000,5100,5500,5000,yes
140000,female,university,,28,0,0,0,0,0,0,129925,131624,133763,133195,101298,101601,6200,6600,4225,3800,3816,4000,no
110000,female,university,married,51,0,0,0,2,2,2,10141,11472,12973,12468,13763,13989,1500,2000,0,1500,600,0,no
50000,male,university,married,50,1,1,-2,-2,-2,-2,36750,0,0,0,0,0,5000,0,0,0,0,0,no
230000,female,graduate school,married,49,-2,-2,-2,-2,-2,-2,1034,299,8994,1796,3970,7214,299,8997,1808,3970,7214,3684,no
50000,female,university,single,-1,0,0,0,0,-1,0,97259,50017,48560,46978,19640,18937,3608,2110,2558,19640,683,699,yes
60000,male,university,married,31,0,-1,-1,-2,-2,-2,22219,140,0,0,0,0,140,0,0,0,0,0,yes
500000,male,university,,49,-2,-1,0,0,0,0,5157,77667,94159,95209,97952,202991,77677,20000,3500,4371,107500,0,no
170000,female,graduate school,,28,-1,-1,-1,-1,-1,-1,1311,3008,4244,1718,0,1125,3008,4244,1718,0,1125,0,no
30000,female,university,,39,-1,-1,-1,-1,-1,-1,4042,5060,2300,0,780,0,5327,2300,0,780,0,0,no
250000,male,graduate school,married,37,-2,-2,-2,-2,-1,-1,-207,-207,-207,-207,11361,700,0,0,0,11568,700,0,no
20000,male,high school,married,44,-1,-1,-1,-1,0,0,2522,169,1261,1170,780,390,169,1261,1170,0,0,0,no
40000,male,graduate school,married,28,-1,-1,2,-1,-1,-1,10371,11895,11228,2475,5341,6255,2567,0,2475,5341,1500,0,yes
150000,female,graduate school,married,-1,-1,-1,-1,-1,-1,-1,13447,17877,25172,4694,6292,13943,17914,25349,4694,6324,14433,17378,no
140000,female,university,,-1,-1,-1,-2,-1,-1,-2,197,0,0,233,0,0,0,0,233,0,0,0,no
360000,female,university,single,-1,0,0,-1,-1,-1,-1,82195,99961,7968,1816,5549,1234,20500,8007,1825,5563,1240,0,no
180000,female,university,single,34,-1,-1,-1,-1,-1,-1,194,191,187,176,188,187,200,187,180,200,187,750,no
230000,male,graduate school,married,39,-1,-1,-1,-1,-1,-1,1319,770,3465,0,486,634,770,3465,0,486,634,0,yes
20000,male,university,,47,-1,-1,-1,-2,-2,-2,390,780,0,0,0,0,780,0,0,0,0,0,no
110000,female,graduate school,,24,0,0,2,0,0,0,111863,111569,110768,110480,48708,47060,6001,5000,5060,2000,3000,5000,no
230000,female,university,,32,-1,-1,-1,-1,-1,-1,1680,1535,1836,2274,0,21166,1535,1836,2283,0,21166,1000,no
130000,female,university,single,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
60000,female,graduate school,single,23,0,0,0,0,0,0,51275,41950,40861,35638,32147,19796,2000,1718,3800,2000,2386,1000,no
60000,female,high school,,43,2,2,-2,-2,-2,-1,4703,0,0,0,0,992,0,0,0,0,992,14000,yes
130000,female,university,,25,-2,-1,0,0,0,0,51734,77751,93696,79187,116374,120793,77817,79000,3382,103001,6000,4514,no
110000,female,graduate school,married,51,0,0,0,0,0,0,103701,102318,92724,94573,65034,66241,3771,3656,3687,2476,2406,2427,no
420000,female,university,single,29,0,0,-1,0,-1,0,326239,318143,15926,4169,158062,156341,7108,17570,1000,158556,5000,5080,no
30000,female,university,married,38,0,0,0,0,2,2,20344,21705,22537,24161,25128,24576,2000,1500,2000,1500,0,1200,no
150000,female,graduate school,,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
50000,female,university,single,24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
180000,female,high school,married,26,0,0,0,-2,-2,-2,32023,20233,0,0,0,0,10000,0,0,0,0,0,no
170000,female,university,,38,0,0,0,-2,-2,-2,9550,5556,0,0,0,0,1055,0,0,0,0,0,no
500000,male,graduate school,single,29,-1,0,0,0,0,0,15732,15760,18426,19200,3817,4817,3000,3000,2000,1000,2000,1885,no
200000,female,university,married,35,1,-2,-1,-1,-1,-1,0,0,5825,0,3217,8273,0,5825,0,3217,8273,5158,no
350000,male,graduate school,married,34,0,0,0,0,0,0,120198,122480,82329,85252,76222,67243,5900,3300,4089,3000,2400,2551,no
200000,male,university,,45,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,yes
80000,female,high school,,-1,0,0,-1,-1,-2,-2,37990,39400,15674,-1,-1,-1,2400,15674,0,0,0,0,no
160000,male,graduate school,,51,2,3,2,0,0,0,79244,77441,75598,82277,84955,87549,0,0,8000,4000,4000,4000,yes
210000,female,university,married,47,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
100000,male,graduate school,,55,0,0,0,0,0,0,10712,18135,31498,17158,18758,17168,8000,2000,4000,2000,3000,0,no
360000,female,high school,single,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,yes
50000,female,high school,married,35,0,0,0,0,0,0,49930,48261,49027,49564,28609,28302,2300,3000,2503,1500,1204,2000,no
240000,male,graduate school,single,29,0,0,0,0,0,0,240248,221277,201606,183454,180255,184230,11000,9100,8000,8000,7000,8000,no
180000,female,university,single,25,0,0,0,2,0,0,169225,172888,182533,176099,178391,181986,7800,14010,4,6431,6600,6675,no
240000,female,graduate school,,-1,-1,2,-1,-1,-1,-1,652,326,326,326,326,326,0,326,326,326,326,711,yes
30000,female,high school,married,55,0,0,0,0,0,0,27381,27803,28170,9515,780,0,1633,1000,1190,0,0,0,no
330000,male,graduate school,single,31,0,0,0,-1,-1,0,165042,163406,137664,3381,40635,40490,9000,7558,5000,42054,3000,2000,no
70000,female,university,,26,2,2,0,0,2,2,42053,41087,42445,45020,44006,46905,0,2007,3582,0,3601,0,yes
80000,female,university,married,26,0,0,0,0,0,0,78872,80301,74349,75443,57735,58139,2800,2800,2400,2100,2100,2100,no
360000,female,university,married,29,1,-1,2,-1,-1,-1,0,828,414,414,414,414,1244,2,416,416,416,600,no
230000,male,high school,single,41,0,0,0,0,0,0,9552,11376,13185,14648,15419,15423,2000,2000,2000,1000,562,2000,yes
420000,female,university,single,27,-2,-2,-2,-2,-2,-2,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14996,no
80000,male,university,married,36,0,0,0,0,0,0,77870,79472,81757,77200,77669,79667,2900,3900,2750,2800,3200,2964,yes
20000,female,high school,married,-1,1,2,0,0,2,0,15829,15283,16429,19764,19140,6420,0,1700,4000,0,1000,0,yes
280000,female,university,married,30,2,0,0,0,0,0,18925,20223,15883,15547,14472,15086,1976,2000,1600,1000,1000,1100,yes
50000,male,university,married,47,-1,-1,-1,2,0,-1,390,390,780,780,390,390,390,780,390,0,390,0,no
160000,female,graduate school,single,31,-2,-2,-2,-1,-1,-1,0,0,0,150,150,150,0,0,150,150,150,178,no
310000,male,university,married,36,0,0,0,0,0,0,32782,33587,39572,44598,50570,64916,11406,10773,10819,15766,20645,5000,no
30000,male,university,single,34,-1,-1,-1,-1,-2,-2,390,0,780,0,0,0,0,780,0,0,0,0,no
50000,female,university,married,28,0,0,0,0,0,0,14262,16024,17744,19440,23089,24695,2000,2000,2000,4000,2000,2000,yes
420000,male,graduate school,married,32,0,0,0,0,0,0,45060,25056,24751,24984,24983,23751,1407,1332,963,877,1000,908,yes
200000,female,graduate school,married,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,no
20000,female,graduate school,single,29,1,-1,-1,-1,-1,-1,0,2494,3967,1364,600,0,2494,3967,1370,600,0,0,no
440000,female,high school,married,50,0,0,0,0,0,0,250825,167091,144804,67729,66077,60074,10043,8608,25031,25030,22053,20030,no
20000,female,university,married,42,2,3,2,2,2,2,18162,18464,19465,19649,19978,20512,900,1600,800,950,1000,800,yes
460000,male,graduate school,married,51,-1,-1,-1,-1,0,-1,1637,-196,4594,1517,1517,1306,0,4790,1517,0,1306,0,no
190000,female,graduate school,single,38,0,0,0,0,0,0,39468,33983,35042,35699,36410,38067,2151,1910,1558,1269,2209,123347,no
20000,male,university,single,30,0,0,0,0,0,0,19082,19691,19932,19904,19549,19920,1314,1405,1157,802,790,0,no
280000,female,graduate school,married,-1,0,0,0,0,0,0,89739,73565,77944,81926,79277,78723,4000,6000,6000,7000,5000,5000,no
140000,female,university,married,37,0,0,0,0,0,0,127693,26633,28180,29702,31223,35683,2000,2000,2000,2000,5000,2000,no
50000,male,university,married,39,0,0,0,0,0,0,39323,45625,38157,15966,15733,17703,7031,2013,3005,2007,5007,1003,no
230000,female,university,single,-1,0,-1,2,0,0,0,14330,222761,197630,172058,174123,178052,232557,0,7556,6219,6721,7074,no
380000,female,graduate school,single,40,0,-1,-1,-1,-1,0,4366,2566,4174,-192,15011,12990,2566,4174,192,16350,2000,55500,yes
300000,female,graduate school,,37,-1,-1,-1,-1,-1,-1,616,1370,916,316,898,748,1370,916,316,898,748,748,no
230000,female,university,married,43,0,0,0,0,0,0,226319,230825,234832,217987,169529,172143,9309,8795,8337,6015,6292,6080,yes
40000,female,high school,married,34,0,0,0,0,0,2,32052,34697,36824,38764,36411,31931,3500,3000,3000,3029,1000,2000,no
360000,female,graduate school,,37,-1,-1,-1,-1,-1,-1,3355,5865,3300,6290,8220,28410,5865,3300,6290,8220,28410,4845,no
130000,male,graduate school,single,25,1,-2,-2,-2,-2,-2,-2000,-2000,-2000,-2000,-2000,-2000,0,0,0,0,0,0,yes
80000,female,university,single,30,0,0,0,-1,0,0,90562,85919,83023,79031,41149,30244,3340,2000,83731,2000,2000,1000,no
170000,female,university,married,49,-1,0,0,0,0,0,12769,13557,20245,15429,16594,14035,3557,8245,5429,4500,5415,6000,no
500000,male,graduate school,married,47,1,-1,-1,-1,-1,-1,0,1200,163,1131,150,165,1200,163,1142,150,165,8530,no
150000,female,university,single,43,0,0,0,0,0,0,111024,111486,12596,13610,14381,15147,2720,1500,1229,1000,1000,1000,no
180000,male,graduate school,single,33,0,0,2,0,0,0,33331,35311,31648,23461,20671,17122,5317,23,208,10,51,0,no
290000,female,high school,single,27,0,0,0,-1,-1,-1,63584,28972,10772,22463,164570,9672,2000,1399,22468,164791,9672,18889,no
20000,male,graduate school,single,24,2,2,0,0,2,2,18199,17623,18317,19525,19084,19601,0,1300,1500,0,1600,0,no
50000,female,university,married,-1,1,2,2,2,0,0,23165,21974,20544,17210,15754,10860,2000,2101,0,2201,1000,0,yes
50000,male,high school,,-1,0,0,0,0,0,0,44036,35498,33043,25556,24389,25436,4500,4000,3000,2500,4000,2500,no
310000,female,graduate school,single,44,-1,-1,-1,0,0,-1,11983,7759,16799,32372,6680,4732,7797,16818,20313,1006,4739,6615,no
80000,male,graduate school,single,35,0,0,0,0,-1,-1,37642,39947,43773,31830,7848,390,4000,5000,5500,7848,390,780,no
230000,female,graduate school,single,29,-1,-1,-1,-1,-1,-1,8916,318,725,2586,3198,4260,318,725,2592,3198,4260,4944,no
50000,male,university,married,31,1,2,0,0,0,0,51203,50110,51066,50737,50827,50856,0,2100,1800,1900,2100,1800,no
200000,female,graduate school,,30,0,0,0,0,-2,-2,199229,132458,59153,0,0,0,6101,3500,0,0,0,0,yes
70000,female,university,,40,0,0,0,0,0,0,43045,44088,45102,45861,47951,49252,2036,2050,1809,3000,2251,1627,no
200000,female,high school,married,41,1,-1,-1,-1,0,-1,0,340,0,148,148,198,340,0,148,0,198,7296,yes
90000,female,high school,married,37,0,0,0,0,0,0,62460,63354,64528,65815,67350,68605,2500,2300,2281,2519,2451,2300,no
20000,male,university,single,43,1,2,0,0,0,0,20251,19637,19539,20080,18855,20130,0,2000,841,696,1600,0,yes
200000,male,university,single,46,0,0,0,0,0,0,18564,77518,82794,80248,64174,51204,60000,20000,20248,45000,40000,54600,no
190000,female,university,married,46,0,0,0,0,0,0,80903,83900,86897,90399,85698,88400,5000,5000,5600,3000,4000,4500,no
50000,male,university,married,47,0,0,0,0,0,0,49032,48764,49521,48830,49728,50146,2599,2556,1665,1600,1800,2000,no
260000,male,graduate school,single,34,-1,-1,-1,-1,-1,-1,6776,3198,2123,11774,6166,3583,3222,2125,11892,6192,3601,3403,no
80000,male,university,married,48,0,0,0,0,0,-1,46495,8241,11000,16000,0,54070,3000,3000,5000,0,54070,5247,no
230000,male,graduate school,single,27,0,0,0,0,0,0,24874,19500,11717,7540,9941,6113,2000,2000,3540,5000,3113,90417,no
110000,female,graduate school,single,32,-1,0,0,0,0,0,3610,15427,19563,21994,21994,8391,12000,5000,3000,3000,2000,1000,no
10000,female,university,single,32,0,0,0,0,0,0,9463,9338,10073,10059,9760,10048,1165,1200,400,520,600,500,no
350000,female,graduate school,single,35,-2,-2,-2,-2,-2,-1,8526,10892,9218,9834,1458,5225,10951,9274,4711,1472,5251,68361,no
300000,female,university,single,27,0,0,0,0,0,-1,15024,12128,9775,7347,4026,4851,1200,1164,1069,81,4851,3333,no
300000,female,graduate school,single,31,0,0,0,-1,-1,-1,11158,1616,3658,658,662,0,1000,2700,658,662,0,0,no
210000,male,high school,,37,-1,-1,-1,-1,-1,-1,2359,1519,1939,1939,1939,1520,1519,1939,1939,1939,1520,2358,no
270000,female,university,married,39,0,0,0,0,0,0,85827,87664,90515,91903,93864,96118,3000,4000,3403,3200,3479,4000,no
260000,female,graduate school,single,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,yes
140000,male,university,single,45,0,0,0,0,0,0,36856,27919,24865,22892,50652,47334,1500,1273,607,41774,1712,1563,no
350000,female,graduate school,single,46,-1,-1,-1,-2,-2,-2,5372,12179,0,0,0,0,12277,0,0,0,0,0,no
50000,male,high school,single,58,0,0,0,0,0,0,46190,44450,50266,19729,20149,19593,2000,20266,1300,700,700,700,no
310000,male,university,married,40,-1,0,0,0,0,0,12295,13440,30944,31594,30454,29246,2000,20000,2000,2000,2000,210759,no
150000,female,university,married,53,-1,-1,-1,-1,-1,0,11589,28910,34731,18845,25745,13396,29190,34733,18857,25752,3396,8000,no
50000,male,graduate school,,49,0,0,0,0,0,0,48135,15317,12579,29035,17878,18586,1314,1506,19300,1000,1000,700,yes
20000,male,university,,55,0,0,0,0,0,2,7357,8270,9301,10440,11193,10575,1290,1321,1460,1213,1,357,no
50000,female,graduate school,single,24,0,0,0,0,0,0,33879,35211,36263,37061,37943,42305,1900,1918,1700,1500,5000,0,yes
170000,female,graduate school,single,28,2,2,2,2,2,2,131864,133897,129761,138604,136283,145012,5600,0,11000,0,11000,5656,yes
50000,female,high school,single,45,0,0,-1,0,-1,-1,10723,9872,658,1473,1473,1473,1000,658,1000,1473,1473,540,no
200000,male,university,married,32,1,2,0,0,0,0,134625,98699,74015,54472,50540,46486,341,8024,5000,8000,1821,5000,no
200000,female,university,,32,0,0,0,0,0,0,150204,153189,156406,159650,163625,167790,5479,5682,5850,6625,6790,6235,no
50000,female,high school,single,22,0,0,0,0,0,-1,11867,12588,13089,13731,13891,1769,1309,1200,1232,891,4435,1836,no
380000,female,graduate school,married,-1,-1,-1,-1,-1,-1,-1,472,14985,10472,39993,25356,39772,14985,10472,39993,25356,39772,54002,no
20000,female,graduate school,single,25,-1,-1,-1,-1,-1,-2,2650,0,855,640,0,0,0,855,640,0,0,2742,no
100000,female,university,single,29,2,0,0,0,0,0,42440,43303,35304,33365,29260,30073,1599,2000,1500,1500,1300,4000,yes
100000,female,university,married,28,2,0,0,0,0,2,73073,74739,70844,63924,57326,59654,3500,3003,1910,2400,3300,0,yes
220000,male,high school,married,58,0,0,0,-2,-2,-1,22599,23875,0,0,0,52884,1875,0,0,0,52884,105660,no
130000,male,university,married,50,0,0,2,0,0,2,122079,127725,129558,126907,99773,98086,7700,6000,5800,5800,2895,400,no
270000,female,graduate school,married,32,-1,-1,-1,0,0,-1,23351,30960,180473,58839,21334,19080,30972,180519,1177,0,19080,133504,no
10000,female,university,,43,0,0,0,0,0,0,4834,1803,2819,3828,3905,4023,1038,1054,1063,140,181,80,yes
